N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.007845	0.004336	0.000157	0.000804	0.000142	0.023711	0.002769
20	0.007934	0.004368	0.000160	0.000664	0.000175	0.023243	0.002716
50	0.007880	0.004466	0.000209	0.000705	0.000203	0.023146	0.002669
100	0.008022	0.004575	0.000293	0.000687	0.000299	0.025039	0.002577
200	0.007691	0.004405	0.000374	0.000715	0.000316	0.026217	0.002865
500	0.008163	0.004549	0.000752	0.000726	0.000686	0.026239	0.002793
1000	0.008298	0.004722	0.001325	0.000775	0.001041	0.026580	0.002661
2000	0.009197	0.005215	0.002501	0.000935	0.001939	0.026151	0.002790
5000	0.011477	0.006332	0.006172	0.001379	0.005064	0.026440	0.003894
10000	0.013657	0.007639	0.012328	0.001991	0.010046	0.027419	0.007981
20000	0.020214	0.011121	0.024823	0.003197	0.018803	0.027261	0.015049
50000	0.038013	0.021784	0.061436	0.007248	0.046420	0.028816	0.031343
100000	0.068438	0.039772	0.122064	0.012811	0.091318	0.030812	0.061812
200000	0.129365	0.076100	0.242510	0.023086	0.183042	0.031727	0.124570
500000	0.310248	0.182974	0.607405	0.053245	0.454514	0.042496	0.305519
1000000	0.614011	0.363643	1.212867	0.106901	0.908168	0.059562	0.608688
2000000	1.216797	0.722707	2.426840	0.200846	1.819754	0.091900	1.218043
5000000	3.042701	1.801450	6.049167	0.500232	4.543079	0.188811	3.034470
10000000	6.058504	3.595053	12.135798	0.983402	9.100175	0.359273	6.377449
20000000	12.119196	7.168374	24.276181	1.981151	18.210426	0.689358	12.177539
50000000	30.257181	17.912489	60.567654	5.185465	45.623816	1.698333	30.423991
